书名,别名,链接,信息,评分,评分人数,描述
经济学原理（上下）,经济学原理（上下）,https://book.douban.com/subject/1028842/,[美] 曼昆 / 梁小民 / 机械工业出版社 / 2003-8 / 88.00元,9.1,19646,经济学家们的世界观
简爱（英文全本）,Jane Eyre,https://book.douban.com/subject/1141406/,[英] 夏洛蒂·勃朗特 / 世界图书出版公司 / 2003-11 / 18.00元,8.5,199194,灰姑娘在十九世纪
國史大綱（上下）,國史大綱（上下）,https://book.douban.com/subject/1046492/,錢穆 / 商务印书馆 / 2013-8 / 76.00元,9.3,14265,钱穆中国通史
麦琪的礼物:欧·亨利短篇小说经典, : 欧·亨利短篇小说经典 ,https://book.douban.com/subject/1051193/,[美] 欧·亨利 / 张经浩 / 上海社会科学院出版社 / 2003-7 / 25.00元,8.6,69493,日常的奇迹
爱的艺术,爱的艺术,https://book.douban.com/subject/3026879/,[美] 艾·弗洛姆 / 李健鸣 / 上海译文出版社 / 2008-4 / 15.00元,8.8,39756,谦恭地、勇敢地、真诚地和有纪律地爱他人
牧羊少年奇幻之旅,O Alquimista,https://book.douban.com/subject/3608208/,[巴西] 保罗·柯艾略 / 丁文林 / 南海出版公司 / 2009-3-1 / 25.00元,8.5,146575,你自己就是最大的宝藏
荆棘鸟,The Thorn Birds,https://book.douban.com/subject/1086249/,[澳] 考琳·麦卡洛 / 曾胡 / 译林出版社 / 1998-7 / 28.00元,8.6,49778,澳洲乱世情
银河系漫游指南,The Hitchhiker's Guide to the Galaxy,https://book.douban.com/subject/1394364/,[英] 道格拉斯·亚当斯 / 徐百柯 / 四川科学技术出版社 / 2005-6 / 16.00元,8.8,20297,一场穿越银河的冒险
半生缘,半生缘,https://book.douban.com/subject/1963684/,张爱玲 / 北京十月文艺出版社 / 2006-12 / 28.00元,8.6,78085,世钧，我们回不去了
金色梦乡,ゴールデンスランバー,https://book.douban.com/subject/5038409/,[日] 伊坂幸太郎 / 李彦桦 / 译林出版社 / 2010-9 / 35.00元,9.0,25444,伊坂幸太郎代表作
你好，旧时光（上下）,玛丽苏病例报告,https://book.douban.com/subject/4166819/,八月长安 / 新世界出版社 / 2009-12 / 39.80元,8.7,44348,原作名切题
尼罗河上的惨案,Death on the Nile,https://book.douban.com/subject/1818347/,[英] 阿加莎·克里斯蒂 / 宫英海 / 人民文学出版社 / 2006-5 / 22.00元,8.7,43909,阿加莎·克里斯蒂代表作
激荡三十年:中国企业1978-2008（珍藏图文版）, : 中国企业1978-2008（珍藏图文版） ,https://book.douban.com/subject/3151575/,吴晓波 / 中信出版社 / 2008-7-1 / 32.00元,8.6,16148,中国企业1978—2008
亮剑,亮剑,https://book.douban.com/subject/1088022/,都梁 / 解放军文艺出版社 / 2005-3 / 28.00元,8.9,26229,面对强大的对手，明知不敌，也要毅然亮剑
古文观止,古文观止,https://book.douban.com/subject/1014561/,吴楚材 / 中华书局 / 1987-1-1 / 21.00元,9.1,17064,收录自先秦至明末的散文二百二十二篇
枪炮、病菌与钢铁:人类社会的命运, : 人类社会的命运 ,https://book.douban.com/subject/1813841/,[美] 贾雷德·戴蒙德 / 谢延光 / 上海译文出版社 / 2006-4-1 / 45.00元,8.7,43004,人类社会的命运
全球通史(上):从史前史到21世纪, : 从史前史到21世纪 ,https://book.douban.com/subject/1922216/,[美]斯塔夫里阿诺斯 / 吴象婴 / 北京大学出版社 / 2006-1-10 / 42.00,9.2,15456,
我也有一个梦想:近距离看美国之三, : 近距离看美国之三 ,https://book.douban.com/subject/1014825/,林达 / 生活·读书·新知三联书店 / 2004-08 / 25.00元,9.0,14717,在法治国家里，民众怎样运用法律
我的天才女友:那不勒斯四部曲1, : 那不勒斯四部曲1 ,https://book.douban.com/subject/26878124/,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-1 / 42.00元,8.6,85750,“那不勒斯四部曲”第一部，两个女人，50年的友谊和战争
面纱,The Painted Veil,https://book.douban.com/subject/10560798/,(英)W.萨默塞特·毛姆 / 阮景林 / 重庆出版社 / 2012-05-01 / 32.00元,8.7,61535,揭去生活的面纱
厌女:日本的女性嫌恶, : 日本的女性嫌恶 ,https://book.douban.com/subject/25836270/,(日) 上野千鹤子 / 王兰 / 上海三联书店 / 2015-1 / 28.00元,9.0,34440,
罪与罚,Преступление и наказание,https://book.douban.com/subject/1858568/,[俄] 陀思妥耶夫斯基 / 岳麟 / 上海译文出版社 / 2006-8 / 23.00元,9.2,25513,描绘人内心的全部深度
倚天屠龙记,倚天屠龙记,https://book.douban.com/subject/1070851/,金庸 / 生活·读书·新知三联书店 / 1999-04 / 47.00,8.6,56286,不识张郎是张郎
我的阿勒泰,My Altay,https://book.douban.com/subject/4884218/,李娟 / 云南人民出版社 / 2010-7 / 22.00元,8.8,23541,描写疆北阿勒泰地区生活和风情的原生态散文集
小径分岔的花园,小径分岔的花园,https://book.douban.com/subject/25796120/,[阿根廷] 博尔赫斯 / 王永年 / 上海译文出版社 / 2015-7 / 23.00,8.9,31255,一个谜语，谜底正是时间
棋王,棋王,https://book.douban.com/subject/1020961/,阿城 / 作家出版社 / 1999-10 / 13.00,8.8,30291,我从未真正见过火，也未见过毁灭，更不知新生
恶意,悪意,https://book.douban.com/subject/3646172/,[日] 东野圭吾 / 娄美莲 / 南海出版公司 / 2009-6 / 18.00,8.5,227116,将手记体叙事的无限可能发挥得淋漓尽致
水浒传（全二册）,水浒传（全二册）,https://book.douban.com/subject/1008357/,[明] 施耐庵 / 人民文学出版社 / 1997-1 / 50.60元,8.6,68500,替天行道
正见:佛陀的证悟, : 佛陀的证悟 ,https://book.douban.com/subject/1963912/,宗萨蒋扬钦哲仁波切 / 姚仁喜 / 中国友谊出版公司 / 2007-1 / 25.00元,8.8,16375,佛陀的证悟
绿毛水怪,绿毛水怪,https://book.douban.com/subject/3518332/,王小波 / 时代文艺出版社 / 2009-1 / 30.00元,9.0,20518,我们好象在池塘的水底，从一个月亮走向另一个月亮
一千零一夜,The Arabian Nights: Tales of 1001 Nights,https://book.douban.com/subject/1035848/,纳训 / 人民文学出版社 / 2003-01 / 22.00,8.7,53289,阿拉伯地区的古代民间传说
罗生门,羅生門,https://book.douban.com/subject/3136271/,[日] 芥川龙之介 / 林少华 / 上海译文出版社 / 2008-7 / 12.00元,8.7,61220,人生，远比地狱更像地狱
雨季不再来,雨季不再来,https://book.douban.com/subject/2136140/,三毛 / 北京十月文艺出版社 / 2007-7 / 28.00元,8.7,49848,三毛少女时代的成长感受
万物有灵且美,All Things Bright and Beautiful,https://book.douban.com/subject/4187411/,[英] 吉米·哈利 / 种衍伦 / 中国城市出版社 / 2010-1 / 28.80,8.8,21000,活泼的生命完全无须借助魔法，便能对我们述说至美至真的故事
社会心理学:（第8版）, : （第8版） ,https://book.douban.com/subject/1476651/,[美] 戴维·迈尔斯 / 张智勇 / 人民邮电出版社 / 2006-1 / 68.00元,9.0,23603,人们是如何思索、影响他人并与他人建立联系的
设计中的设计,DESIGNING DESIGN,https://book.douban.com/subject/1941558/,[日] 原研哉 / 朱锷 / 山东人民出版社 / 2006-11 / 48.00元,8.6,32582,日常生活的无限可能性
总统是靠不住的:近距离看美国之二, : 近距离看美国之二 ,https://book.douban.com/subject/1056315/,林达 / 生活·读书·新知三联书店 / 2004-08 / 21.80,8.8,19486,美国政治法律制度的基本原理和操作细节
温柔的夜,温柔的夜,https://book.douban.com/subject/2068249/,三毛 / 北京十月文艺出版社 / 2007-5 / 28.00元,9.1,20504,三毛在加纳利群岛的生活
一句顶一万句,一句顶一万句,https://book.douban.com/subject/3633461/,刘震云 / 长江文艺出版社 / 2009-3 / 29.80,8.7,53722,一句胜过千年
顾城的诗,顾城的诗,https://book.douban.com/subject/1033825/,顾城 / 人民文学出版社 / 1998-12 / 20.00,8.8,23326,火焰是我们诗歌唯一的读者
雷雨,雷雨,https://book.douban.com/subject/1013416/,曹禺 / 人民文学出版社 / 1999-05 / 9.20,8.6,71389,一幕人生大悲剧，在一个雷雨夜爆发
青铜时代:时代三部曲, : 时代三部曲 ,https://book.douban.com/subject/1085883/,王小波 / 花城出版社 / 1997-5 / 29.00元,8.7,24407,唐人传奇贯注现代情趣
霸王别姬,霸王别姬,https://book.douban.com/subject/1088711/,李碧华 / 人民文学出版社 / 1999-1 / 10.20元,9.1,19035,人间，只是抹去了脂粉的脸
德米安:埃米尔·辛克莱的彷徨少年时, : 埃米尔·辛克莱的彷徨少年时 ,https://book.douban.com/subject/3578470/,[德] 赫尔曼·黑塞 / 丁君君 / 上海人民出版社 / 2009-3 / 25.00元,8.9,26936,少年辛克莱寻找通向自身之路的艰辛历程
理想国,Πολιτεία,https://book.douban.com/subject/1004821/,[古希腊] 柏拉图 / 郭斌和 / 商务印书馆 / 1986-8 / 28.00元,8.8,30059,人类历史上最早的乌托邦
认识电影:插图第11版, : 插图第11版 ,https://book.douban.com/subject/2326403/,[美] 路易斯·贾内梯 / 焦雄屏 / 世界图书出版公司 / 2007-11 / 68.00元,8.9,16910,电影入门经典之作
茶馆,茶馆,https://book.douban.com/subject/1036613/,老舍 / 人民文学出版社 / 2002-1 / 9.80元,9.0,23866,清末、民初、抗战胜利以后三个历史时期的北京生活风貌
黑客与画家:硅谷创业之父PaulGraham文集, : 硅谷创业之父Paul Graham文集 ,https://book.douban.com/subject/6021440/,[美] Paul Graham / 阮一峰 / 人民邮电出版社 / 2011-4 / 49.00元,8.7,21496,硅谷创业之父Paul Graham文集
一桩事先张扬的凶杀案,Crónica de una muerte anunciada,https://book.douban.com/subject/24382569/,[哥伦比亚] 加西亚·马尔克斯 / 魏然 / 南海出版公司 / 2013-6 / 25.00元,8.7,35504,我如此急切地想要讲述这桩案件，也许是它最终确定了我的作家生涯
最好的我们,流水混账,https://book.douban.com/subject/24754316/,八月长安 / 湖南文艺出版社 / 2013-8-5 / 55,8.7,66276,耿耿余淮
挪威的森林,ノルウェイの森,https://book.douban.com/subject/2159042/,[日] 村上春树 / 林少华 / 上海译文出版社 / 2007-7 / 23.00元,8.5,121500,像喜欢春天的熊一样
老人与海,The Old Man and the Sea,https://book.douban.com/subject/1064275/,[美]海明威 / 吴劳 / 上海译文出版社 / 1999-10 / 8.20元,8.4,178253,正是悲壮赋予生活以意义
阿勒泰的角落,阿勒泰的角落,https://book.douban.com/subject/4881850/,李娟 / 万卷出版公司 / 2010-6 / 25.00元,9.1,16613,白雪和阳光，青草和白桦林
金锁记,金锁记,https://book.douban.com/subject/3017857/,张爱玲 / 哈尔滨出版社 / 2005-6 / 13.5元,8.6,57325,一个小商人家庭出身的女子曹七巧的心灵变迁历程
失明症漫记,Ensaio sobre a Cegueira,https://book.douban.com/subject/20428302/,[葡] 若泽·萨拉马戈 / 范维信 / 南海出版公司 / 2014-2 / 29.50,9.1,21374,失明症迅速蔓延，整个城市陷入一场空前的灾难
上学记,上学记,https://book.douban.com/subject/1859140/,何兆武 口述 / 生活·读书·新知三联书店 / 2006-8 / 19.80元,8.9,13363,20世纪中国知识分子的心灵史
此生未完成:一个母亲、妻子、女儿的生命日记, : 一个母亲、妻子、女儿的生命日记 ,https://book.douban.com/subject/6397275/,于娟 / 湖南科学技术出版社 / 2011-5 / 26.00元,8.9,20757,一个母亲、妻子、女儿的生命日记
香水:一个谋杀犯的故事, : 一个谋杀犯的故事 ,https://book.douban.com/subject/1292416/,[德] 帕·聚斯金德 / 李清华 / 上海译文出版社 / 2005-5 / 20.00元,8.5,38410,每一次谋杀只因迷恋她们身上的味道
张爱玲文集,张爱玲文集,https://book.douban.com/subject/1004992/,张爱玲 / 安徽文艺出版社 / 1992年 / 45元,8.9,14752,
影响力,Influence: The Psychology of Persuasion,https://book.douban.com/subject/1786387/,[美] 罗伯特·西奥迪尼 / 陈叙 / 中国人民大学出版社 / 2006-5 / 45.00元,8.6,47276,营销防骗指南
巨流河,巨流河,https://book.douban.com/subject/4842446/,齐邦媛 / 生活·读书·新知三联书店 / 2010-10 / 39.00元,8.7,28801,两代人从巨流河到哑口海的故事
世界尽头与冷酷仙境,世界の終りとハードボイルド・ワンダーランド,https://book.douban.com/subject/1291809/,[日] 村上春树 / 林少华 / 上海译文出版社 / 2002-12 / 23.00元,8.6,41940,交叉平行蒙太奇
夏洛的网,Charlotte's Web,https://book.douban.com/subject/1036274/,[美] E.B.怀特 / 任溶溶 / 上海译文出版社 / 2004-5 / 17.00元,8.6,62922,一个蜘蛛和小猪的故事，写给孩子，也写给大人
ZOO,ZOO,https://book.douban.com/subject/2297697/,[日] 乙一 / 李颖秋 / 当代世界出版社 / 2007-10 / 20.00元,8.6,44337,噩梦中的一丝温度
论语,论语,https://book.douban.com/subject/1964774/,刘胜利 / 中华书局 / 2006-12 / 9.80元,9.1,19554,仁远乎哉？我欲仁，斯仁至矣
中国哲学简史,A Short History of Chinese Philosophy,https://book.douban.com/subject/1021273/,冯友兰 / 赵复三 / 新世界出版社 / 2004-1 / 38.00元,8.9,18147,中国哲学入门书
草房子,草房子,https://book.douban.com/subject/1052990/,曹文轩 / 江苏少年儿童出版社 / 2009-6 / 18.00元,9.0,39230,男孩桑桑刻骨铭心、终身难忘的六年小学生活
克莱因壶,クラインの壷,https://book.douban.com/subject/33658616/,[日]冈岛二人 / 张舟 / 化学工业出版社 / 2019-9 / 48.00元,8.8,35603,
人类的群星闪耀时,Sternstunden der Menschheit: Vierzehn historische Miniaturen,https://book.douban.com/subject/1083762/,[奥] 斯蒂芬·茨威格 / 舒昌善 / 广西师范大学出版社 / 2004-8 / 18.00元,8.7,28059,十四个影响人类文明的瞬间
佐贺的超级阿嬷,佐贺的超级阿嬷,https://book.douban.com/subject/2008284/,[日] 岛田洋七 / 陈宝莲 / 南海出版公司 / 2007-3 / 20.00元,8.7,22729,乐观的外婆却总有神奇的办法
秋园,秋园,https://book.douban.com/subject/34998019/,杨本芬 / 北京联合出版公司 / 2020-6 / 38.00元,8.9,29494,
如彗星划过夜空:近距离看美国之四, : 近距离看美国之四 ,https://book.douban.com/subject/1762869/,林达 / 生活·读书·新知三联书店 / 2006-3 / 21.00元,8.9,10835,
额尔古纳河右岸,额尔古纳河右岸,https://book.douban.com/subject/3311253/,迟子建 / 北京十月文艺出版社 / 2005-12-1 / 29.00元,9.0,19773,东北少数民族鄂温克人生存现状及百年沧桑
哈姆莱特,Hamlet,https://book.douban.com/subject/1006197/,[英] 莎士比亚 / 朱生豪 / 人民文学出版社 / 2001-1 / 7.00元,8.6,43525,生存还是毁灭，这是一个值得思考的问题
多情剑客无情剑(上、中、下),多情剑客无情剑(上、中、下),https://book.douban.com/subject/1422833/,古龙 / 海天出版社 / 1991-12-01 / 49.8,8.7,21364,流水滔滔斩不断，情丝百结冲不破
金阁寺,金閣寺,https://book.douban.com/subject/3391248/,[日] 三岛由纪夫 / 唐月梅 / 上海译文出版社 / 2009-1 / 24.00,8.7,30426,他的犯罪动机是对美的嫉妒
骆驼祥子,骆驼祥子,https://book.douban.com/subject/1043815/,老舍 / 人民文学出版社 / 2000-3-1 / 12.00,8.4,182877,旧中国老北京贫苦市民的典型命运
呼啸山庄,Wuthering Heights,https://book.douban.com/subject/1119522/,艾米莉·勃朗特 / 张扬 / 人民文学出版社 / 1999-01-01 / 27.30元,8.4,112497,近乎暴虐的爱与恨
海底两万里,海底两万里,https://book.douban.com/subject/1085470/,[法国] 儒尔·凡尔纳 / 沈国华 / 译林出版社 / 2002-9 / 19.50元,8.5,97001,你听说过鹦鹉螺号吗？
长日将尽,The Remains of the Day,https://book.douban.com/subject/30142261/,[英] 石黑一雄 / 冯涛 / 上海译文出版社 / 2018-5 / 48.00元,8.9,23880,
你一生的故事:特德·姜科幻小说集, : 特德·姜科幻小说集 ,https://book.douban.com/subject/26295448/,[美] 特德·姜 / 李克勤 / 译林出版社 / 2015-5 / 36.00元,8.7,30035,特德·姜科幻小说集
火星救援,The Martian,https://book.douban.com/subject/26586492/,[美] 安迪·威尔 / 陈灼 / 译林出版社 / 2015-10 / 38.00,8.9,16382,跟火星来一场不是你死就是我活的过家家游戏
繁花,繁花,https://book.douban.com/subject/22714154/,金宇澄 / 上海文艺出版社 / 2013-3 / 48.00元,8.7,29083,海上繁花，请静观静读
心是孤独的猎手,The Heart Is a Lonely Hunter,https://book.douban.com/subject/1424741/,[美] 卡森·麦卡勒斯 / 陈笑黎 / 上海三联书店 / 2005-8 / 25.00元,8.5,30206,镇上有两个哑巴，他们总是在一起
社会契约论,Du Contrat Social,https://book.douban.com/subject/1277981/,[法] 卢梭 / 何兆武 / 商务印书馆 / 2003-2-1 / 18.00元,8.8,17333,一个国家只能有一个契约
稻草人手记,稻草人手记,https://book.douban.com/subject/3607117/,三毛 / 北京十月文艺出版社 / 2009-3 / 18.00元,8.9,18422,三毛在加纳利群岛上的生活
小姨多鹤,小姨多鹤,https://book.douban.com/subject/3012517/,严歌苓 / 作家出版社 / 2008-4 / 28.00元,8.6,30836,两个女人的史诗
通往奴役之路,The Road to Serfdom,https://book.douban.com/subject/1077528/,弗里德利希・冯・哈耶克 / 王明毅 / 中国社会科学出版社 / 1997-08-01 / 16.00,8.8,15067,古典自由主义杰作
尘埃落定,尘埃落定,https://book.douban.com/subject/1080309/,阿来 / 人民文学出版社 / 1998-3-1 / 22.0,8.5,61134,一个傻子的土司家族传奇
步履不停,歩いても、歩いても,https://book.douban.com/subject/26963321/,[日] 是枝裕和 / 郑有杰 / 北京联合出版公司 / 2017-5 / 36.80元,8.7,35253,人生路上，步履不停，总有那么一点来不及
红玫瑰与白玫瑰,红玫瑰与白玫瑰,https://book.douban.com/subject/1014278/,张爱玲 / 花城出版社 / 1996-06 / 12.80元,8.4,82995,蚊子血还是饭黏子？
狂热分子:群众运动圣经, : 群众运动圣经 ,https://book.douban.com/subject/3057556/,[美] 埃里克·霍弗 / 梁永安 / 广西师范大学出版社 / 2011-6 / 34.00元,8.9,13317,探讨群众运动的共有特征
把时间当作朋友:运用心智获得解放, : 运用心智获得解放 ,https://book.douban.com/subject/3609132/,李笑来 / 电子工业出版社 / 2009-6 / 32.00元,8.4,38031,反成功学的成功学
了不起的盖茨比,The Great Gatsby,https://book.douban.com/subject/10738023/,[美] 斯科特·菲茨杰拉德 / 邓若虚 / 南海出版公司 / 2012-5 / 25.00元,8.7,42735,
娱乐至死,Amusing Ourselves to Death,https://book.douban.com/subject/1062193/,[美] 尼尔·波兹曼 / 章艳 / 广西师范大学出版社 / 2011-6 / 29.80元,8.5,39182,一切公众话语都日渐以娱乐的方式出现，一切文化内容都成为娱乐的附庸
告白,告白,https://book.douban.com/subject/4836682/,[日]凑佳苗 / 丁世佳 / 哈尔滨出版社 / 2010-7 / 26.00元,8.5,14786,
绝叫,絕叫,https://book.douban.com/subject/35031587/,[日] 叶真中显 / 林佩瑾 / 北京联合出版公司 / 2020-7 / 58.00元,8.7,39040,
带一本书去巴黎,带一本书去巴黎,https://book.douban.com/subject/1001885/,林达 / 生活·读书·新知三联书店 / 2002-5 / 35.00元,8.5,23192,倾听历史的回声
欢乐英雄,欢乐英雄,https://book.douban.com/subject/1264579/,古龙 / 珠海出版社 / 2005-8 / 28.00元,8.8,15639,坚持自己的信念，在贫穷中获得欢乐与友谊
西方哲学史（上卷）,A History of Western Philosophy,https://book.douban.com/subject/1008189/,[英] 罗素 / 何兆武 / 商务印书馆 / 1963-9 / 25.00,8.9,12900,西方哲学史及其与从古代到现代的政治、社会情况的联系
二手时间,Время секонд хэнд,https://book.douban.com/subject/26704403/,[白俄] S. A. 阿列克谢耶维奇 / 吕宁思 / 中信出版社 / 2016-1 / 55.00元,8.8,19084,用最为细小的马赛克拼出了一幅完整的后苏联时代图景
京华烟云,京华烟云,https://book.douban.com/subject/1391191/,林语堂 / 张振玉 / 陕西师范大学出版社 / 2005-7 / 43.00元,8.5,35302,林语堂的《红楼梦》
心理学与生活,心理学与生活,https://book.douban.com/subject/1032501/,[美] 理查德·格里格 / 王垒 / 人民邮电出版社 / 2003-10 / 88.00元,8.8,18548,是教科书，也是通俗易懂的好读物
陆小凤传奇,陆小凤传奇,https://book.douban.com/subject/1089512/,古龙 / 珠海出版社 / 2005-8 / 94.00元,8.7,19588,“我是陆小凤，四条眉毛的陆小凤。”
卓有成效的管理者,The Effective Executive,https://book.douban.com/subject/1322025/,[美] 彼得·德鲁克 / 许是祥 / 机械工业出版社 / 2005-6 / 28.00元,8.7,16500,
长夜难明:紫金陈“推理之王”第3部, : 紫金陈“推理之王”第3部 ,https://book.douban.com/subject/26923390/,紫金陈 / 云南人民出版社 / 2017-1 / 42.00元,8.5,65507,
美丽新世界,Brave New World,https://book.douban.com/subject/1321789/,[英] 阿道司·赫胥黎 / 王波 / 重庆出版社 / 2005-6 / 20.00元,8.7,24329,最经典的反乌托邦文学之一
桶川跟踪狂杀人事件,桶川ストーカー殺人事件,https://book.douban.com/subject/35094680/,[日] 清水洁 / 王华懋 / 四川人民出版社 / 2021-2 / 45.00元,9.0,20408,
遥远的救世主,遥远的救世主,https://book.douban.com/subject/1322455/,豆豆 / 作家出版社 / 2005-05-01 / 28.00,8.7,28026,
少有人走的路:心智成熟的旅程, : 心智成熟的旅程 ,https://book.douban.com/subject/1775691/,[美] M·斯科特·派克 / 于海生 / 吉林文史出版社 / 2007-1 / 26.00元,8.3,93564,成熟的心智通向更完善的自我
泰戈尔诗集,泰戈尔诗集,https://book.douban.com/subject/1170801/,[印] 罗宾德拉纳特·泰戈尔 / 深幻 / 北京出版社 / 2004-7 / 25.00元,8.9,10526,
被讨厌的勇气:“自我启发之父”阿德勒的哲学课, : “自我启发之父”阿德勒的哲学课 ,https://book.douban.com/subject/26369699/,[日] 岸见一郎 / 渠海霞 / 机械工业出版社 / 2015-3-1 / 39.8,8.6,87917,
那些回不去的年少时光·终场,那些回不去的年少时光·终场,https://book.douban.com/subject/4732378/,桐华 / 江苏文艺出版社 / 2010-04 / 23.80元,8.7,21869,青春的逝去并不可怕，可怕的是失去了勇敢地热爱生活的心
世界的凛冬:世纪三部曲2, : 世纪三部曲 2 ,https://book.douban.com/subject/26957760/,[英] 肯·福莱特 / 陈杰 / 江苏凤凰文艺出版社 / 2017-3-1 / 132.00（全三册）,8.8,23984,我亲眼目睹，每一个迈向死亡的生命都在热烈地生长
不存在的骑士,Il Cavaliere Inesistente,https://book.douban.com/subject/6789551/,[意] 伊塔洛·卡尔维诺 / 吴正仪 / 译林出版社 / 2012-4 / 22.00元,8.8,15915,
消失的13级台阶,13階段,https://book.douban.com/subject/34996429/,[日] 高野和明 / 赵建勋 / 上海文艺出版社 / 2020-5-15 / 42.00元,8.6,56195,
一个人的村庄,一个人的村庄,https://book.douban.com/subject/1692648/,刘亮程 / 春风文艺出版社 / 2006-1 / 28.00元,8.9,15275,他是真正的作家，也是真正的农民
当呼吸化为空气,When Breath Becomes Air,https://book.douban.com/subject/26896859/,[美] 保罗·卡拉尼什 / 何雨珈 / 浙江文艺出版社 / 2016-12 / 48.00元,8.8,23327,你在死亡中探究生命的意义，你见证生前的呼吸化作死后的空气
1Q84（全三册）,1Q84（全三册）,https://book.douban.com/subject/10529920/,村上春树 / 施小炜 / 南海出版公司 / 2011-1-1 / 111.50元,8.1,5212,
君主论,Il Principe,https://book.douban.com/subject/1060774/,[意]尼科洛·马基雅维里 / 潘汉典 / 商务印书馆 / 2005-10 / 9.00,8.7,17796,
人生,人生,https://book.douban.com/subject/3803820/,路遥 / 北京十月文艺出版社 / 2009-5 / 20.00元,8.5,64487,如果你是高加林，你要如何选择？
分成两半的子爵,Il visconte dimezzato,https://book.douban.com/subject/10555486/,[意] 伊塔洛·卡尔维诺 / 吴正仪 / 译林出版社 / 2012-4-1 / 20.00元,8.7,18034,
巴黎圣母院,Notre-Dame de Paris,https://book.douban.com/subject/1024197/,[法]雨果 / 陈敬容 / 人民文学出版社 / 1982-6 / 22.50元,8.4,94376,潜藏于残缺下的美与崇高
书名,别名,链接,信息,评分,评分人数,描述
书名,别名,链接,信息,评分,评分人数,描述
书名,别名,链接,信息,评分,评分人数,描述
书名,别名,链接,信息,评分,评分人数,描述
书名,别名,链接,信息,评分,评分人数,描述
书名,别名,链接,信息,评分,评分人数,描述
书名,别名,链接,信息,评分,评分人数,描述
书名,别名,链接,信息,评分,评分人数,描述
书名,别名,链接,信息,评分,评分人数,描述
书名,别名,链接,信息,评分,评分人数,描述
书名,别名,链接,信息,评分,评分人数,描述
书名,别名,链接,信息,评分,评分人数,描述
书名,别名,链接,信息,评分,评分人数,描述
书名,别名,链接,信息,评分,评分人数,描述
书名,别名,链接,信息,评分,评分人数,描述
书名,别名,链接,信息,评分,评分人数,描述
书名,别名,链接,信息,评分,评分人数,描述
书名,别名,链接,信息,评分,评分人数,描述
书名,别名,链接,信息,评分,评分人数,描述
书名,别名,链接,信息,评分,评分人数,描述
书名,别名,链接,信息,评分,评分人数,描述
书名,别名,链接,信息,评分,评分人数,描述
书名,别名,链接,信息,评分,评分人数,描述
书名,别名,链接,信息,评分,评分人数,描述
书名,别名,链接,信息,评分,评分人数,描述
书名,别名,链接,信息,评分,评分人数,描述
书名,别名,链接,信息,评分,评分人数,描述
书名,别名,链接,信息,评分,评分人数,描述
书名,别名,链接,信息,评分,评分人数,描述
书名,别名,链接,信息,评分,评分人数,描述
